attempt_key,run_id,qid,sample,call_index,tool,targets,n_returned,entity_ids,error,retrieval_mode
baseline-01|storefront-tour-top-category|None|baseline,baseline-01,storefront-tour-top-category,,1,get_context,source: orders or sales with product category and revenue | measure: total revenue | dimension: product category,76,source:order_items:order_items | dimension:order_items:products.category | dimension:order_items:product_id | measure:order_items:total_sales | dimension:order_items:category | dimension:order_items:products.name | dimension:order_items:products.brand | dimension:order_items:products.product_id | measure:order_items:total_margin | dimension:order_items:brand | dimension:order_items:products.cost | dimension:order_items:products.retail_price | measure:order_items:percent_of_sales | dimension:order_items:customer_id | measure:order_items:return_rate | measure:order_items:customer_count | measure:order_items:margin_rate | measure:order_items:avg_order_value | measure:order_items:orders_per_customer | measure:order_items:customers.customer_count | measure:order_items:order_item_count | source:overview:overview | dimension:overview:products.category | dimension:overview:product_id | measure:overview:total_sales | dimension:overview:category | dimension:overview:products.name | dimension:overview:products.brand | dimension:overview:products.product_id | measure:overview:total_margin | dimension:overview:brand | dimension:overview:products.cost | dimension:overview:products.retail_price | measure:overview:percent_of_sales | dimension:overview:customer_id | measure:overview:return_rate | measure:overview:customer_count | measure:overview:margin_rate | measure:overview:avg_order_value | measure:overview:orders_per_customer,,semantic
baseline-01|storefront-tour-top-category|None|baseline,baseline-01,storefront-tour-top-category,,2,execute_query,,0,,,
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,,1,get_context,source: brands products margin | measure: margin rate profit margin | dimension: brand name,80,source:scoped_orders:scoped_orders | measure:scoped_orders:margin_rate | dimension:scoped_orders:brand | dimension:scoped_orders:products.brand | dimension:scoped_orders:products.name | measure:scoped_orders:total_margin | dimension:scoped_orders:product_id | dimension:scoped_orders:products.category | measure:scoped_orders:return_rate | measure:scoped_orders:percent_of_sales | dimension:scoped_orders:category | dimension:scoped_orders:products.retail_price | dimension:scoped_orders:sale_price | dimension:scoped_orders:products.product_id | dimension:scoped_orders:customers.full_name | measure:scoped_orders:total_sales | measure:scoped_orders:order_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:orders_per_customer | measure:scoped_orders:customers.customer_count | source:overview:overview | measure:overview:margin_rate | dimension:overview:brand | dimension:overview:products.brand | dimension:overview:products.name | measure:overview:total_margin | dimension:overview:product_id | dimension:overview:products.category | measure:overview:return_rate | measure:overview:percent_of_sales | dimension:overview:category | dimension:overview:products.retail_price | dimension:overview:sale_price | dimension:overview:products.product_id | dimension:overview:customers.full_name | measure:overview:total_sales | measure:overview:order_count | measure:overview:avg_order_value | measure:overview:customer_count,,semantic
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,,2,execute_query,,0,,,
baseline-01|storefront-tour-peak-month-2025|None|baseline,baseline-01,storefront-tour-peak-month-2025,,1,get_context,measure: revenue | dimension: order date or month,74,source:customers:customers | dimension:customers:signup_date | measure:customers:customer_count | dimension:customers:customer_id | source:overview:overview | dimension:overview:customers.signup_date | measure:overview:total_sales | dimension:overview:order_id | measure:overview:return_rate | measure:overview:percent_of_sales | measure:overview:margin_rate | measure:overview:customer_count | dimension:overview:customer_id | dimension:overview:customers.customer_id | dimension:overview:created_at | measure:overview:total_margin | dimension:overview:category | measure:overview:order_count | measure:overview:customers.customer_count | dimension:overview:sale_price | dimension:overview:products.product_id | dimension:overview:products.category | dimension:overview:customers.full_name | measure:overview:avg_order_value | measure:overview:order_item_count | source:order_items:order_items | dimension:order_items:customers.signup_date | measure:order_items:total_sales | dimension:order_items:order_id | measure:order_items:return_rate | measure:order_items:percent_of_sales | measure:order_items:margin_rate | measure:order_items:customer_count | dimension:order_items:customer_id | dimension:order_items:customers.customer_id | dimension:order_items:created_at | measure:order_items:total_margin | dimension:order_items:category | measure:order_items:order_count | measure:order_items:customers.customer_count,,semantic
baseline-01|storefront-tour-peak-month-2025|None|baseline,baseline-01,storefront-tour-peak-month-2025,,2,execute_query,,0,,,
baseline-01|storefront-tour-orders-per-customer|None|baseline,baseline-01,storefront-tour-orders-per-customer,,1,get_context,source: orders | source: customers | measure: average orders per customer | view: orders per customer,69,source:customers:customers | measure:customers:customer_count | source:order_items:order_items | measure:order_items:orders_per_customer | measure:order_items:avg_order_value | measure:order_items:order_count | measure:order_items:customers.customer_count | measure:order_items:customer_count | measure:order_items:order_item_count | view:order_items:top_customers | view:order_items:by_status | measure:order_items:total_sales | measure:order_items:products.product_count | view:order_items:key_figures | measure:order_items:percent_of_sales | measure:order_items:total_margin | view:order_items:sales_by_month | view:order_items:sales_by_state | view:order_items:category_performance | view:order_items:sales_by_region | view:order_items:margin_by_category | view:order_items:by_category | view:order_items:top_products | source:overview:overview | measure:overview:orders_per_customer | measure:overview:avg_order_value | measure:overview:order_count | measure:overview:customers.customer_count | measure:overview:customer_count | measure:overview:order_item_count | view:overview:top_customers | view:overview:by_status | measure:overview:total_sales | measure:overview:products.product_count | view:overview:key_figures | view:overview:kpis | measure:overview:percent_of_sales | measure:overview:total_margin | view:overview:sales_by_month | view:overview:sales_by_state,,semantic
baseline-01|storefront-tour-orders-per-customer|None|baseline,baseline-01,storefront-tour-orders-per-customer,,2,execute_query,,0,,,
baseline-01|storefront-tour-top-customer-spend|None|baseline,baseline-01,storefront-tour-top-customer-spend,,1,get_context,source: customers | measure: total spend / total revenue by customer | dimension: customer name,77,source:customers:customers | dimension:customers:customer_id | dimension:customers:full_name | measure:customers:customer_count | dimension:customers:signup_date | source:order_items:order_items | dimension:order_items:customer_id | dimension:order_items:customers.full_name | dimension:order_items:customers.customer_id | measure:order_items:total_sales | measure:order_items:orders_per_customer | dimension:order_items:products.name | measure:order_items:total_margin | measure:order_items:customers.customer_count | dimension:order_items:customers.state | measure:order_items:customer_count | measure:order_items:percent_of_sales | dimension:order_items:customers.city | dimension:order_items:product_id | measure:order_items:return_rate | dimension:order_items:customers.signup_date | dimension:order_items:order_id | dimension:order_items:products.brand | measure:order_items:margin_rate | measure:order_items:avg_order_value | measure:order_items:order_item_count | source:overview:overview | dimension:overview:customer_id | dimension:overview:customers.full_name | dimension:overview:customers.customer_id | measure:overview:total_sales | measure:overview:orders_per_customer | dimension:overview:products.name | measure:overview:total_margin | measure:overview:customers.customer_count | dimension:overview:customers.state | measure:overview:customer_count | measure:overview:percent_of_sales | dimension:overview:customers.city | dimension:overview:product_id,,semantic
baseline-01|storefront-tour-top-customer-spend|None|baseline,baseline-01,storefront-tour-top-customer-spend,,2,execute_query,,0,,,
