attempt_key,run_id,qid,entity_id,status
baseline-01|storefront-tour-top-category|None|baseline,baseline-01,storefront-tour-top-category,dimension:order_items:category,exact
baseline-01|storefront-tour-top-category|None|baseline,baseline-01,storefront-tour-top-category,dimension:order_items:products.category,exact
baseline-01|storefront-tour-top-category|None|baseline,baseline-01,storefront-tour-top-category,dimension:products:category,exact
baseline-01|storefront-tour-top-category|None|baseline,baseline-01,storefront-tour-top-category,measure:order_items:total_sales,exact
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,dimension:order_items:brand,exact
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,dimension:order_items:products.brand,exact
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,dimension:products:brand,exact
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,measure:order_items:margin_rate,exact
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,measure:order_items:total_margin,exact
baseline-01|storefront-tour-peak-month-2025|None|baseline,baseline-01,storefront-tour-peak-month-2025,measure:order_items:total_sales,exact
baseline-01|storefront-tour-peak-month-2025|None|baseline,baseline-01,storefront-tour-peak-month-2025,view:order_items:sales_by_month,missing
baseline-01|storefront-tour-orders-per-customer|None|baseline,baseline-01,storefront-tour-orders-per-customer,measure:order_items:order_count,exact
baseline-01|storefront-tour-orders-per-customer|None|baseline,baseline-01,storefront-tour-orders-per-customer,measure:order_items:orders_per_customer,exact
baseline-01|storefront-tour-top-customer-spend|None|baseline,baseline-01,storefront-tour-top-customer-spend,dimension:customers:customer_id,exact
baseline-01|storefront-tour-top-customer-spend|None|baseline,baseline-01,storefront-tour-top-customer-spend,dimension:order_items:customers.customer_id,exact
baseline-01|storefront-tour-top-customer-spend|None|baseline,baseline-01,storefront-tour-top-customer-spend,measure:order_items:total_sales,exact
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,dimension:order_items:status,exact
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,measure:order_items:total_sales,exact
baseline-01|storefront-tour-signup-cohort-2025|None|baseline,baseline-01,storefront-tour-signup-cohort-2025,dimension:customers:signup_date,exact
baseline-01|storefront-tour-signup-cohort-2025|None|baseline,baseline-01,storefront-tour-signup-cohort-2025,measure:order_items:total_sales,exact
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,dimension:order_items:products.retail_price,exact
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,dimension:products:retail_price,exact
baseline-01|storefront-tour-top-region|None|baseline,baseline-01,storefront-tour-top-region,dimension:order_items:region,exact
baseline-01|storefront-tour-top-region|None|baseline,baseline-01,storefront-tour-top-region,dimension:order_items:regions.region,exact
baseline-01|storefront-tour-top-region|None|baseline,baseline-01,storefront-tour-top-region,dimension:regions:region,exact
baseline-01|storefront-tour-top-region|None|baseline,baseline-01,storefront-tour-top-region,measure:order_items:total_sales,exact
baseline-01|storefront-tour-summer-sales-2025|None|baseline,baseline-01,storefront-tour-summer-sales-2025,measure:order_items:total_sales,exact
baseline-01|storefront-tour-customer-count-basis|None|baseline,baseline-01,storefront-tour-customer-count-basis,measure:customers:customer_count,exact
baseline-01|storefront-tour-customer-count-basis|None|baseline,baseline-01,storefront-tour-customer-count-basis,measure:order_items:customer_count,exact
