attempt_key,run_id,qid,sample,phase,coverage,verdict,failed,recall,precision,n_required,n_returned,n_get_context,missing,noise,component,owner,where_to_fix,why
baseline-01|storefront-tour-top-category|None|baseline,baseline-01,storefront-tour-top-category,,baseline,unknown,match,false,1.0,0.05263157894736842,2,76,1,,dimension:brand_suggest:brand | dimension:customers:customer_id | dimension:order_items:brand | dimension:order_items:customer_id | dimension:order_items:product_id | dimension:order_items:products.brand | dimension:order_items:products.cost | dimension:order_items:products.name | dimension:order_items:products.product_id | dimension:order_items:products.retail_price | dimension:overview:brand | dimension:overview:category | dimension:overview:customer_id | dimension:overview:product_id | dimension:overview:products.brand | dimension:overview:products.category | dimension:overview:products.cost | dimension:overview:products.name | dimension:overview:products.product_id | dimension:overview:products.retail_price | dimension:products:brand | dimension:products:name | dimension:products:product_id | dimension:products:retail_price | dimension:scoped_orders:brand | dimension:scoped_orders:category | dimension:scoped_orders:customer_id | dimension:scoped_orders:product_id | dimension:scoped_orders:products.brand | dimension:scoped_orders:products.category | dimension:scoped_orders:products.cost | dimension:scoped_orders:products.name | dimension:scoped_orders:products.product_id | dimension:scoped_orders:products.retail_price | measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customer_count | measure:order_items:customers.customer_count | measure:order_items:margin_rate | measure:order_items:order_item_count | measure:order_items:orders_per_customer | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:order_items:total_margin | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:customers.customer_count | measure:overview:margin_rate | measure:overview:order_item_count | measure:overview:orders_per_customer | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_item_count | measure:scoped_orders:orders_per_customer | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:regions:regions | source:scoped_orders:scoped_orders,,,,delivered and correct
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,,baseline,unknown,match,false,1.0,0.075,2,80,1,,dimension:brand_suggest:brand | dimension:customers:city | dimension:customers:customer_id | dimension:customers:full_name | dimension:order_items:category | dimension:order_items:customers.full_name | dimension:order_items:product_id | dimension:order_items:products.category | dimension:order_items:products.name | dimension:order_items:products.product_id | dimension:order_items:products.retail_price | dimension:order_items:sale_price | dimension:overview:brand | dimension:overview:category | dimension:overview:customers.full_name | dimension:overview:product_id | dimension:overview:products.brand | dimension:overview:products.category | dimension:overview:products.name | dimension:overview:products.product_id | dimension:overview:products.retail_price | dimension:overview:sale_price | dimension:products:category | dimension:products:cost | dimension:products:name | dimension:products:product_id | dimension:products:retail_price | dimension:regions:region | dimension:scoped_orders:brand | dimension:scoped_orders:category | dimension:scoped_orders:customers.full_name | dimension:scoped_orders:product_id | dimension:scoped_orders:products.brand | dimension:scoped_orders:products.category | dimension:scoped_orders:products.name | dimension:scoped_orders:products.product_id | dimension:scoped_orders:products.retail_price | dimension:scoped_orders:sale_price | measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customer_count | measure:order_items:customers.customer_count | measure:order_items:order_count | measure:order_items:orders_per_customer | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:customers.customer_count | measure:overview:margin_rate | measure:overview:order_count | measure:overview:orders_per_customer | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_count | measure:scoped_orders:orders_per_customer | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:regions:regions | source:scoped_orders:scoped_orders,,,,delivered and correct
baseline-01|storefront-tour-peak-month-2025|None|baseline,baseline-01,storefront-tour-peak-month-2025,,baseline,unknown,match,false,1.0,0.013513513513513514,1,74,1,,dimension:brand_suggest:brand | dimension:customers:customer_id | dimension:customers:signup_date | dimension:order_items:category | dimension:order_items:created_at | dimension:order_items:customer_id | dimension:order_items:customers.customer_id | dimension:order_items:customers.full_name | dimension:order_items:customers.signup_date | dimension:order_items:order_id | dimension:order_items:products.category | dimension:order_items:products.product_id | dimension:order_items:sale_price | dimension:overview:category | dimension:overview:created_at | dimension:overview:customer_id | dimension:overview:customers.customer_id | dimension:overview:customers.full_name | dimension:overview:customers.signup_date | dimension:overview:order_id | dimension:overview:products.category | dimension:overview:products.product_id | dimension:overview:sale_price | dimension:products:category | dimension:products:name | dimension:products:product_id | dimension:scoped_orders:category | dimension:scoped_orders:created_at | dimension:scoped_orders:customer_id | dimension:scoped_orders:customers.customer_id | dimension:scoped_orders:customers.full_name | dimension:scoped_orders:customers.signup_date | dimension:scoped_orders:order_id | dimension:scoped_orders:products.category | dimension:scoped_orders:products.product_id | dimension:scoped_orders:sale_price | measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customer_count | measure:order_items:customers.customer_count | measure:order_items:margin_rate | measure:order_items:order_count | measure:order_items:order_item_count | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:order_items:total_margin | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:customers.customer_count | measure:overview:margin_rate | measure:overview:order_count | measure:overview:order_item_count | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_count | measure:scoped_orders:order_item_count | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:scoped_orders:scoped_orders,,,,delivered and correct
baseline-01|storefront-tour-orders-per-customer|None|baseline,baseline-01,storefront-tour-orders-per-customer,,baseline,unknown,match,false,1.0,0.043478260869565216,1,69,1,,measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customers.customer_count | measure:order_items:order_item_count | measure:order_items:percent_of_sales | measure:order_items:products.product_count | measure:order_items:total_margin | measure:order_items:total_sales | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:customers.customer_count | measure:overview:order_count | measure:overview:order_item_count | measure:overview:orders_per_customer | measure:overview:percent_of_sales | measure:overview:products.product_count | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:order_count | measure:scoped_orders:order_item_count | measure:scoped_orders:orders_per_customer | measure:scoped_orders:percent_of_sales | measure:scoped_orders:products.product_count | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:regions:regions | source:scoped_orders:scoped_orders | view:order_items:by_category | view:order_items:by_status | view:order_items:category_performance | view:order_items:key_figures | view:order_items:margin_by_category | view:order_items:sales_by_month | view:order_items:sales_by_region | view:order_items:sales_by_state | view:order_items:top_customers | view:order_items:top_products | view:overview:by_status | view:overview:category_performance | view:overview:key_figures | view:overview:kpis | view:overview:revenue_by_category | view:overview:revenue_by_state | view:overview:sales_by_month | view:overview:sales_by_region | view:overview:sales_by_state | view:overview:top_customers | view:scoped_orders:by_category | view:scoped_orders:by_status | view:scoped_orders:category_performance | view:scoped_orders:key_figures | view:scoped_orders:margin_by_category | view:scoped_orders:sales_by_month | view:scoped_orders:sales_by_region | view:scoped_orders:sales_by_state | view:scoped_orders:top_customers | view:scoped_orders:top_products,,,,delivered and correct
baseline-01|storefront-tour-top-customer-spend|None|baseline,baseline-01,storefront-tour-top-customer-spend,,baseline,unknown,match,false,1.0,0.03896103896103896,2,77,1,,dimension:brand_suggest:brand | dimension:customers:full_name | dimension:customers:signup_date | dimension:order_items:customer_id | dimension:order_items:customers.city | dimension:order_items:customers.full_name | dimension:order_items:customers.signup_date | dimension:order_items:customers.state | dimension:order_items:order_id | dimension:order_items:product_id | dimension:order_items:products.brand | dimension:order_items:products.name | dimension:overview:customer_id | dimension:overview:customers.city | dimension:overview:customers.customer_id | dimension:overview:customers.full_name | dimension:overview:customers.signup_date | dimension:overview:customers.state | dimension:overview:order_id | dimension:overview:product_id | dimension:overview:products.brand | dimension:overview:products.name | dimension:products:brand | dimension:products:category | dimension:products:name | dimension:products:product_id | dimension:scoped_orders:customer_id | dimension:scoped_orders:customers.city | dimension:scoped_orders:customers.customer_id | dimension:scoped_orders:customers.full_name | dimension:scoped_orders:customers.signup_date | dimension:scoped_orders:customers.state | dimension:scoped_orders:order_id | dimension:scoped_orders:product_id | dimension:scoped_orders:products.brand | dimension:scoped_orders:products.name | measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customer_count | measure:order_items:customers.customer_count | measure:order_items:margin_rate | measure:order_items:order_item_count | measure:order_items:orders_per_customer | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:order_items:total_margin | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:customers.customer_count | measure:overview:margin_rate | measure:overview:order_item_count | measure:overview:orders_per_customer | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_item_count | measure:scoped_orders:orders_per_customer | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:regions:regions | source:scoped_orders:scoped_orders,,,,delivered and correct
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,,baseline,unknown,match,false,1.0,0.02631578947368421,2,76,2,,dimension:brand_suggest:brand | dimension:customers:customer_id | dimension:customers:signup_date | dimension:order_items:category | dimension:order_items:created_at | dimension:order_items:customer_id | dimension:order_items:customers.customer_id | dimension:order_items:customers.full_name | dimension:order_items:customers.signup_date | dimension:order_items:customers.state | dimension:order_items:order_id | dimension:order_items:product_id | dimension:order_items:products.name | dimension:order_items:products.product_id | dimension:order_items:sale_price | dimension:overview:category | dimension:overview:customer_id | dimension:overview:customers.customer_id | dimension:overview:customers.full_name | dimension:overview:customers.state | dimension:overview:order_id | dimension:overview:products.name | dimension:overview:products.product_id | dimension:overview:sale_price | dimension:overview:status | dimension:products:product_id | dimension:products:retail_price | dimension:scoped_orders:category | dimension:scoped_orders:customer_id | dimension:scoped_orders:customers.customer_id | dimension:scoped_orders:customers.full_name | dimension:scoped_orders:customers.state | dimension:scoped_orders:order_id | dimension:scoped_orders:products.name | dimension:scoped_orders:products.product_id | dimension:scoped_orders:sale_price | dimension:scoped_orders:status | measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customer_count | measure:order_items:customers.customer_count | measure:order_items:margin_rate | measure:order_items:order_item_count | measure:order_items:orders_per_customer | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:order_items:total_margin | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:customers.customer_count | measure:overview:margin_rate | measure:overview:order_item_count | measure:overview:orders_per_customer | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_item_count | measure:scoped_orders:orders_per_customer | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:scoped_orders:scoped_orders,,,,delivered and correct
baseline-01|storefront-tour-signup-cohort-2025|None|baseline,baseline-01,storefront-tour-signup-cohort-2025,,baseline,unknown,match,false,1.0,0.02564102564102564,2,78,1,,dimension:brand_suggest:brand | dimension:customers:customer_id | dimension:customers:full_name | dimension:customers:state | dimension:order_items:created_at | dimension:order_items:customer_id | dimension:order_items:customers.city | dimension:order_items:customers.customer_id | dimension:order_items:customers.full_name | dimension:order_items:customers.signup_date | dimension:order_items:customers.state | dimension:order_items:order_id | dimension:order_items:product_id | dimension:order_items:products.product_id | dimension:overview:created_at | dimension:overview:customer_id | dimension:overview:customers.city | dimension:overview:customers.customer_id | dimension:overview:customers.full_name | dimension:overview:customers.signup_date | dimension:overview:customers.state | dimension:overview:order_id | dimension:overview:product_id | dimension:overview:products.product_id | dimension:products:brand | dimension:products:name | dimension:products:product_id | dimension:regions:state | dimension:scoped_orders:created_at | dimension:scoped_orders:customer_id | dimension:scoped_orders:customers.city | dimension:scoped_orders:customers.customer_id | dimension:scoped_orders:customers.full_name | dimension:scoped_orders:customers.signup_date | dimension:scoped_orders:customers.state | dimension:scoped_orders:order_id | dimension:scoped_orders:product_id | dimension:scoped_orders:products.product_id | measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customer_count | measure:order_items:customers.customer_count | measure:order_items:margin_rate | measure:order_items:order_count | measure:order_items:order_item_count | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:order_items:total_margin | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:customers.customer_count | measure:overview:margin_rate | measure:overview:order_count | measure:overview:order_item_count | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_count | measure:scoped_orders:order_item_count | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:regions:regions | source:scoped_orders:scoped_orders,,,,delivered and correct
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,,baseline,unknown,match,false,1.0,0.04819277108433735,1,83,3,,dimension:brand_suggest:brand | dimension:customers:customer_id | dimension:customers:signup_date | dimension:order_items:brand | dimension:order_items:category | dimension:order_items:customer_id | dimension:order_items:gross_margin | dimension:order_items:id | dimension:order_items:order_id | dimension:order_items:products.category | dimension:order_items:products.cost | dimension:overview:brand | dimension:overview:category | dimension:overview:customer_id | dimension:overview:gross_margin | dimension:overview:id | dimension:overview:order_id | dimension:overview:products.category | dimension:overview:products.cost | dimension:overview:products.retail_price | dimension:overview:sale_price | dimension:products:brand | dimension:products:category | dimension:products:cost | dimension:products:name | dimension:products:product_id | dimension:scoped_orders:brand | dimension:scoped_orders:category | dimension:scoped_orders:customer_id | dimension:scoped_orders:customers.city | dimension:scoped_orders:customers.customer_id | dimension:scoped_orders:gross_margin | dimension:scoped_orders:id | dimension:scoped_orders:order_id | dimension:scoped_orders:product_id | dimension:scoped_orders:products.brand | dimension:scoped_orders:products.category | dimension:scoped_orders:products.cost | dimension:scoped_orders:products.name | dimension:scoped_orders:products.product_id | dimension:scoped_orders:products.retail_price | dimension:scoped_orders:sale_price | measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customer_count | measure:order_items:margin_rate | measure:order_items:order_count | measure:order_items:order_item_count | measure:order_items:orders_per_customer | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:order_items:total_margin | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:margin_rate | measure:overview:order_count | measure:overview:order_item_count | measure:overview:orders_per_customer | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_count | measure:scoped_orders:order_item_count | measure:scoped_orders:orders_per_customer | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:scoped_orders:scoped_orders,,,,delivered and correct
baseline-01|storefront-tour-top-region|None|baseline,baseline-01,storefront-tour-top-region,,baseline,unknown,match,false,1.0,0.04938271604938271,2,81,1,,dimension:brand_suggest:brand | dimension:customers:city | dimension:customers:full_name | dimension:customers:signup_date | dimension:customers:state | dimension:order_items:brand | dimension:order_items:category | dimension:order_items:customers.city | dimension:order_items:id | dimension:order_items:products.brand | dimension:order_items:products.category | dimension:order_items:regions.state | dimension:order_items:status | dimension:overview:brand | dimension:overview:category | dimension:overview:customers.city | dimension:overview:id | dimension:overview:products.brand | dimension:overview:products.category | dimension:overview:region | dimension:overview:regions.region | dimension:overview:regions.state | dimension:overview:status | dimension:products:brand | dimension:products:category | dimension:products:cost | dimension:products:name | dimension:products:retail_price | dimension:regions:state | dimension:scoped_orders:brand | dimension:scoped_orders:category | dimension:scoped_orders:customers.city | dimension:scoped_orders:id | dimension:scoped_orders:products.brand | dimension:scoped_orders:products.category | dimension:scoped_orders:region | dimension:scoped_orders:regions.region | dimension:scoped_orders:regions.state | dimension:scoped_orders:status | measure:customers:customer_count | measure:order_items:avg_order_value | measure:order_items:customer_count | measure:order_items:customers.customer_count | measure:order_items:margin_rate | measure:order_items:order_count | measure:order_items:order_item_count | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:order_items:total_margin | measure:overview:avg_order_value | measure:overview:customer_count | measure:overview:customers.customer_count | measure:overview:margin_rate | measure:overview:order_count | measure:overview:order_item_count | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:total_margin | measure:overview:total_sales | measure:products:product_count | measure:scoped_orders:avg_order_value | measure:scoped_orders:customer_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_count | measure:scoped_orders:order_item_count | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | source:brand_suggest:brand_suggest | source:customers:customers | source:order_items:order_items | source:overview:overview | source:products:products | source:regions:regions | source:scoped_orders:scoped_orders,,,,delivered and correct
baseline-01|storefront-tour-best-customers|None|baseline,baseline-01,storefront-tour-best-customers,,baseline,unknown,match,false,,,0,69,1,,,,,,"correct; the case names no required entities, so retrieval was not measured for it"
